function_id,function_name,target_network_role,external_participants,primary_external_actions,sensitivity,target_priority,current_state_summary
F01,Strategy & Enterprise Planning,Selective stakeholder collaboration,"board adviser, JV partner, strategic partner","view, contribute, acknowledge",medium,later,"No dedicated external workflow evidenced; use only for explicitly shared planning/review artefacts"
F02,Corporate Governance,Controlled governance participation,"non-executive director, committee member, adviser","view, approve, acknowledge, declare, complete action",high,later,"No common external governance workflow evidenced"
F03,Enterprise Performance Management,Selective shared performance,"client, JV partner, delivery partner","view, acknowledge, submit evidence, complete action",medium,later,"No common external performance workflow evidenced"
F04,Corporate Development & M&A,High-sensitivity deal collaboration,"target, adviser, lender, JV partner","view, upload, Q&A, approve, acknowledge",critical,later,"No common external deal-room workflow evidenced"
F05,"Product, Service & Innovation Management",Selective customer/partner participation,"customer, research participant, innovation partner","view, feedback, approve, submit evidence",medium,later,"F05 implementation is in separate PR #141; Network architecture must remain separate"
F06,Marketing & Brand,Limited authenticated engagement,"partner, event participant, prospect","view, register, respond",low,later,"Public marketing remains outside Network; no dedicated authenticated external workflow evidenced"
F07,Sales & Commercial Management,Core customer commercial collaboration,"customer, client, prospect","view proposal/quotation, clarify, accept, reject, request revision",high,early,"Quotation supports portal delivery-channel metadata but complete customer publication/acceptance workflow is not evidenced"
F08,"Customer Service, Experience & Success",Core customer service,"customer, client, service recipient","onboard, raise case, respond, upload, acknowledge, feedback",medium,early,"No common external customer-service workspace evidenced"
F09,Procurement & Supplier Management,Core supplier collaboration,"supplier, manufacturer, merchant, subcontractor","onboard, qualify, view RFQ, submit quote, acknowledge PO, upload compliance",high,early,"PR #142 proves supplier RFQ round trip but uses supplier-specific invitation/signup plumbing that should migrate to kernel"
F10,"Demand, Supply Chain & Logistics",Core logistics collaboration,"supplier, haulier, warehouse partner, site logistics provider","ASN, book delivery, confirm dispatch, proof of delivery, report exception",medium,early,"No common external logistics workflow evidenced"
F11,Manufacturing / Production Operations,Contextual production partner collaboration,"fabricator, manufacturer, production subcontractor","acknowledge order, progress update, inspection evidence, completion",medium,medium,"No common external production workflow evidenced"
F12,Service Delivery & Field Operations,Core service-partner execution,"field contractor, service partner, engineer","accept/decline job, progress, timesheet/evidence, complete",medium,early,"No common external field-service workspace evidenced"
F13,Quality Management,Core quality collaboration,"supplier, subcontractor, inspector, client","respond NCR/defect, corrective action, inspection, upload evidence, close-out",high,early,"No common external quality workflow evidenced"
F14,"Finance, Accounting, Treasury & Tax",Core finance collaboration,"customer, supplier, client","view invoice/statement, dispute, pay, submit/remittance evidence, check status",critical,early,"Portal appears as delivery-channel metadata for selected finance flows; no common external finance interaction layer evidenced"
F15,Human Resources / Human Capital,Contextual external-worker interaction,"candidate, agency, contingent worker","onboard, submit documents, acknowledge, complete task",critical,later,"Employee self-service is not an external Network use case; no common external-worker workflow evidenced"
F16,Information Technology,Limited provider collaboration,"managed service provider, technology supplier","accept task, submit evidence, acknowledge change",high,later,"No common external IT-provider workflow evidenced"
F17,"Data, Analytics & AI",Limited governed publication,"client, partner, authorised consumer","view published report/data product, acknowledge terms",critical,later,"No implicit external analytics access; no common Network publication workflow evidenced"
F18,Cybersecurity & Information Security,Controlled assurance collaboration,"supplier, assessor, incident partner","assessment, attestation, upload evidence, incident response action",critical,medium,"No common external security-assurance workflow evidenced"
F19,Legal & Corporate Secretariat,Core legal/counterparty collaboration,"counterparty, external counsel, adviser","review, comment, approve/sign, acknowledge notice, submit evidence",critical,medium,"No common external legal workflow evidenced"
F20,"Risk, Compliance, Internal Control & Audit",Controlled assurance collaboration,"auditor, regulator, assessor, third party","evidence request/response, attestation, finding response, acknowledgement",critical,medium,"No common external assurance workspace evidenced"
F21,Privacy & Information Governance,Controlled rights/evidence interaction,"data subject, regulator, processor","submit request, verify, upload, receive response, acknowledge",critical,medium,"No common external privacy-rights workflow evidenced"
F22,"Property, Facilities & Physical Assets",Core occupant/contractor service,"tenant, occupier, FM contractor, maintainer","raise request, view status, accept work, complete work, upload evidence, warranty action",high,early,"Asset docs explicitly require future explicit sharing policy; no complete external service/maintenance portal evidenced"
F23,"Health, Safety, Environment & Sustainability",Core HSE evidence and acknowledgement,"contractor, supplier, inspector, auditor","RAMS, permit evidence, incident response, inspection, briefing acknowledgement, ESG evidence",critical,early,"No common external HSE workspace evidenced"
F24,"Business Continuity, Crisis & Physical Security",Controlled crisis/security collaboration,"emergency partner, security provider, landlord, critical supplier","acknowledge alert, complete action, status update, evidence",critical,later,"No common external crisis/security workflow evidenced"
F25,"Communications, Public Affairs & Investor Relations",Selective authenticated stakeholder communication,"investor, adviser, stakeholder","view controlled pack, acknowledge, submit response",high,later,"Public communications remain outside Network; no common authenticated stakeholder workflow evidenced"
F26,"Knowledge, Document & Records Management",Core controlled information exchange,"client, consultant, contractor, supplier, regulator","view/download, transmittal acknowledgement, review, comment, upload revision/evidence",high,early,"Current portal supports member collaboration; controlled external-project view exists but external action parity is incomplete"
F27,"Portfolio, Programme & Project Management",Core cross-organisation project work,"client, consultant, contractor, subcontractor, supplier, inspector","view project, RFI response, submittal review, instruction acknowledgement, task/progress evidence",high,early,"Standalone external collaborators can see shared projects; current member portal carries richer actions, leaving an external-action gap"
F28,Change & Transformation Management,Contextual stakeholder/change participation,"consultant, delivery partner, stakeholder","readiness task, training acknowledgement, feedback, evidence",medium,later,"No common external transformation workflow evidenced"
F29,Business Process & Continuous Improvement,Platform governance of external actions,"external participant through owning domain","actions exposed by canonical domain; no standalone portal process copy",medium,platform,"Network must remain a shared platform capability and not become a duplicate process-management module"
