sequence,canonical_name,primary_domain_id,primary_domain,source,verified_date
1,Acoustics consultant,D02,Engineering & Technical Design,National Careers Service,2026-08-15
2,Agricultural contractor,D16,"Infrastructure, Land & Rural",National Careers Service,2026-08-15
3,Architect,D01,Architecture & Design,National Careers Service,2026-08-15
4,Architectural technician,D01,Architecture & Design,National Careers Service,2026-08-15
5,Architectural technologist,D01,Architecture & Design,National Careers Service,2026-08-15
6,Bricklayer,D07,Building Trades,National Careers Service,2026-08-15
7,Builders' merchant,D14,Supply Chain & Manufacturing,National Careers Service,2026-08-15
8,Building control officer,D15,"Regulation, Inspection & Compliance",National Careers Service,2026-08-15
9,Building services engineer,D02,Engineering & Technical Design,National Careers Service,2026-08-15
10,Building surveyor,D03,"Surveying, Property & Land",National Careers Service,2026-08-15
11,Building technician,D02,Engineering & Technical Design,National Careers Service,2026-08-15
12,Caretaker,D10,"Facilities, Property & Asset Operations",National Careers Service,2026-08-15
13,Carpenter,D07,Building Trades,National Careers Service,2026-08-15
14,Carpet fitter and floor layer,D07,Building Trades,National Careers Service,2026-08-15
15,Cartographer,D05,"Geospatial, Planning & Transport",National Careers Service,2026-08-15
16,Cavity insulation installer,D09,Energy & Building Performance,National Careers Service,2026-08-15
17,Ceiling fixer,D07,Building Trades,National Careers Service,2026-08-15
18,Civil engineer,D02,Engineering & Technical Design,National Careers Service,2026-08-15
19,Civil engineering technician,D02,Engineering & Technical Design,National Careers Service,2026-08-15
20,Commercial energy assessor,D09,Energy & Building Performance,National Careers Service,2026-08-15
21,Conservator,D13,"Heritage, Conservation & Landscape",National Careers Service,2026-08-15
22,Construction contracts manager,D04,"Commercial, Contracts & Cost",National Careers Service,2026-08-15
23,Construction labourer,D06,Site Delivery & Construction Management,National Careers Service,2026-08-15
24,Construction manager,D06,Site Delivery & Construction Management,National Careers Service,2026-08-15
25,Construction plant mechanic,D11,"Plant, Equipment & Specialist Operations",National Careers Service,2026-08-15
26,Construction plant operator,D11,"Plant, Equipment & Specialist Operations",National Careers Service,2026-08-15
27,Construction site supervisor,D06,Site Delivery & Construction Management,National Careers Service,2026-08-15
28,Crane driver,D11,"Plant, Equipment & Specialist Operations",National Careers Service,2026-08-15
29,Demolition operative,D06,Site Delivery & Construction Management,National Careers Service,2026-08-15
30,Domestic energy assessor,D09,Energy & Building Performance,National Careers Service,2026-08-15
31,Dryliner,D07,Building Trades,National Careers Service,2026-08-15
32,Electrician,D08,Building Services Trades,National Careers Service,2026-08-15
33,Engineering construction technician,D02,Engineering & Technical Design,National Careers Service,2026-08-15
